id,img_path,A,B,C,D,E,F,G,H,I,J
TRAIN_00000,./train/TRAIN_00000.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00001,./train/TRAIN_00001.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00002,./train/TRAIN_00002.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00003,./train/TRAIN_00003.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00004,./train/TRAIN_00004.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00005,./train/TRAIN_00005.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00006,./train/TRAIN_00006.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00007,./train/TRAIN_00007.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00008,./train/TRAIN_00008.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00009,./train/TRAIN_00009.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00010,./train/TRAIN_00010.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00011,./train/TRAIN_00011.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00012,./train/TRAIN_00012.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00013,./train/TRAIN_00013.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00014,./train/TRAIN_00014.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00015,./train/TRAIN_00015.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00016,./train/TRAIN_00016.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00017,./train/TRAIN_00017.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00018,./train/TRAIN_00018.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00019,./train/TRAIN_00019.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00020,./train/TRAIN_00020.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00021,./train/TRAIN_00021.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00022,./train/TRAIN_00022.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00023,./train/TRAIN_00023.jpg,1,0,0,0,0,0,0,0,0,0
TRAIN_00024,./train/TRAIN_00024.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00025,./train/TRAIN_00025.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00026,./train/TRAIN_00026.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00027,./train/TRAIN_00027.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00028,./train/TRAIN_00028.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00029,./train/TRAIN_00029.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00030,./train/TRAIN_00030.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00031,./train/TRAIN_00031.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00032,./train/TRAIN_00032.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00033,./train/TRAIN_00033.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00034,./train/TRAIN_00034.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00035,./train/TRAIN_00035.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00036,./train/TRAIN_00036.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00037,./train/TRAIN_00037.jpg,0,1,0,0,0,0,0,0,0,0
